title,text,label,text_length,title_length,num_words,num_sentences,label_numeric
BFP nagsagawa ng fire drill sa Quezon City,"BFP nagsagawa ng fire drill sa Quezon City. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari.",REAL,166,42,25,3,1
Bayanihan spirit muling nasilayan sa panahon ng kalamidad,Bayanihan spirit muling nasilayan sa panahon ng kalamidad. Hindi pa matukoy kung gaano katotoo ang insidente. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.,REAL,170,57,24,3,1
PNP: Mas pinaigting na seguridad sa Metro Manila,PNP: Mas pinaigting na seguridad sa Metro Manila. Ito ay nakumpirma ng mga eksperto sa lugar. Hindi pa matukoy kung gaano katotoo ang insidente.,REAL,144,48,24,3,1
May bagong planeta na natagpuan malapit sa Pilipinas,May bagong planeta na natagpuan malapit sa Pilipinas. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Ang balitang ito ay mabilis na kumalat sa social media.,FAKE,160,52,26,3,0
DOH: Patuloy ang pagbaba ng kaso ng COVID-19,DOH: Patuloy ang pagbaba ng kaso ng COVID-19. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Nagpahayag ng suporta ang ilang opisyal ukol dito.,REAL,147,44,24,3,1
Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo,"Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo. Nagpahayag ng suporta ang ilang opisyal ukol dito. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari.",FAKE,165,51,26,3,0
BFP nagsagawa ng fire drill sa Quezon City,"BFP nagsagawa ng fire drill sa Quezon City. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Ito ay bahagi ng patuloy na programa ng pamahalaan.",REAL,157,42,26,3,1
Saging kayang gamutin ang lahat ng sakit ayon sa eksperto,"Saging kayang gamutin ang lahat ng sakit ayon sa eksperto. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Ito ay nakumpirma ng mga eksperto sa lugar.",FAKE,164,57,27,3,0
"Lalaking uminom ng tubig ulan, gumaling sa cancer","Lalaking uminom ng tubig ulan, gumaling sa cancer. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Hindi pa matukoy kung gaano katotoo ang insidente.",FAKE,163,49,25,3,0
May bagong planeta na natagpuan malapit sa Pilipinas,May bagong planeta na natagpuan malapit sa Pilipinas. Ito ay bahagi ng patuloy na programa ng pamahalaan. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,FAKE,166,52,25,3,0
Saging kayang gamutin ang lahat ng sakit ayon sa eksperto,"Saging kayang gamutin ang lahat ng sakit ayon sa eksperto. Ito ay bahagi ng patuloy na programa ng pamahalaan. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari.",FAKE,172,57,28,3,0
Buwan umano nahulog sa likod ng Mt. Apo,Buwan umano nahulog sa likod ng Mt. Apo. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,FAKE,152,39,24,4,0
Mga kabataan nagtanim ng puno sa tree planting activity,Mga kabataan nagtanim ng puno sa tree planting activity. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.,REAL,178,55,25,3,1
Buwan umano nahulog sa likod ng Mt. Apo,Buwan umano nahulog sa likod ng Mt. Apo. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Ito ay bahagi ng patuloy na programa ng pamahalaan.,FAKE,153,39,25,4,0
Bata nagpakita ng telekinetic powers sa paaralan,Bata nagpakita ng telekinetic powers sa paaralan. Ang balitang ito ay mabilis na kumalat sa social media. Nagpahayag ng suporta ang ilang opisyal ukol dito.,FAKE,156,48,25,3,0
Higante umano nakita sa bundok ng Sierra Madre,Higante umano nakita sa bundok ng Sierra Madre. Ito ay nakumpirma ng mga eksperto sa lugar. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,FAKE,142,46,24,3,0
Bata nagpakita ng telekinetic powers sa paaralan,Bata nagpakita ng telekinetic powers sa paaralan. Ito ay nakumpirma ng mga eksperto sa lugar. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,FAKE,154,48,23,3,0
Bayanihan spirit muling nasilayan sa panahon ng kalamidad,Bayanihan spirit muling nasilayan sa panahon ng kalamidad. Hindi pa matukoy kung gaano katotoo ang insidente. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,REAL,160,57,24,3,1
Libreng sakay sa mga estudyante ipapatupad simula Hulyo,Libreng sakay sa mga estudyante ipapatupad simula Hulyo. Nagpahayag ng suporta ang ilang opisyal ukol dito. Ito ay nakumpirma ng mga eksperto sa lugar.,REAL,151,55,24,3,1
May bagong planeta na natagpuan malapit sa Pilipinas,May bagong planeta na natagpuan malapit sa Pilipinas. Ito ay nakumpirma ng mga eksperto sa lugar. Ito ay nakumpirma ng mga eksperto sa lugar.,FAKE,141,52,24,3,0
"Pagtaas ng sahod ng guro, isinulong sa Kongreso","Pagtaas ng sahod ng guro, isinulong sa Kongreso. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.",REAL,161,47,25,3,1
May nilalang na lumitaw sa ilog sa Iloilo,May nilalang na lumitaw sa ilog sa Iloilo. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Hindi pa matukoy kung gaano katotoo ang insidente.,FAKE,154,41,24,3,0
PhilHealth naglunsad ng bagong online portal,PhilHealth naglunsad ng bagong online portal. Hindi pa matukoy kung gaano katotoo ang insidente. Nagpahayag ng suporta ang ilang opisyal ukol dito.,REAL,147,44,22,3,1
Saging kayang gamutin ang lahat ng sakit ayon sa eksperto,Saging kayang gamutin ang lahat ng sakit ayon sa eksperto. Ito ay nakumpirma ng mga eksperto sa lugar. Ito ay bahagi ng patuloy na programa ng pamahalaan.,FAKE,154,57,27,3,0
May bagong planeta na natagpuan malapit sa Pilipinas,May bagong planeta na natagpuan malapit sa Pilipinas. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.,FAKE,175,52,24,3,0
BFP nagsagawa ng fire drill sa Quezon City,BFP nagsagawa ng fire drill sa Quezon City. Ito ay bahagi ng patuloy na programa ng pamahalaan. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.,REAL,156,42,25,3,1
"Dahon ng mangga, ginawang cellphone charger","Dahon ng mangga, ginawang cellphone charger. Ang balitang ito ay mabilis na kumalat sa social media. Hindi pa matukoy kung gaano katotoo ang insidente.",FAKE,151,43,24,3,0
Mga kabataan nagtanim ng puno sa tree planting activity,Mga kabataan nagtanim ng puno sa tree planting activity. Ito ay nakumpirma ng mga eksperto sa lugar. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.,REAL,161,55,25,3,1
DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan,DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Hindi pa matukoy kung gaano katotoo ang insidente.,REAL,170,57,27,3,1
"Dahon ng mangga, ginawang cellphone charger","Dahon ng mangga, ginawang cellphone charger. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.",FAKE,166,43,22,3,0
Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon,Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.,REAL,179,56,24,3,1
PNP: Mas pinaigting na seguridad sa Metro Manila,"PNP: Mas pinaigting na seguridad sa Metro Manila. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari.",REAL,162,48,25,3,1
BFP nagsagawa ng fire drill sa Quezon City,BFP nagsagawa ng fire drill sa Quezon City. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Hindi pa matukoy kung gaano katotoo ang insidente.,REAL,155,42,24,3,1
Libreng sakay sa mga estudyante ipapatupad simula Hulyo,Libreng sakay sa mga estudyante ipapatupad simula Hulyo. Ito ay bahagi ng patuloy na programa ng pamahalaan. Nagpahayag ng suporta ang ilang opisyal ukol dito.,REAL,159,55,25,3,1
Buwan umano nahulog sa likod ng Mt. Apo,Buwan umano nahulog sa likod ng Mt. Apo. Ito ay bahagi ng patuloy na programa ng pamahalaan. Nagpahayag ng suporta ang ilang opisyal ukol dito.,FAKE,143,39,25,4,0
"Pagtaas ng sahod ng guro, isinulong sa Kongreso","Pagtaas ng sahod ng guro, isinulong sa Kongreso. Ang balitang ito ay mabilis na kumalat sa social media. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari.",REAL,166,47,27,3,1
Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon,Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,REAL,159,56,24,3,1
May nilalang na lumitaw sa ilog sa Iloilo,May nilalang na lumitaw sa ilog sa Iloilo. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Nagpahayag ng suporta ang ilang opisyal ukol dito.,FAKE,154,41,24,3,0
PhilHealth naglunsad ng bagong online portal,PhilHealth naglunsad ng bagong online portal. Nagpahayag ng suporta ang ilang opisyal ukol dito. Hindi pa matukoy kung gaano katotoo ang insidente.,REAL,147,44,22,3,1
Bayanihan spirit muling nasilayan sa panahon ng kalamidad,Bayanihan spirit muling nasilayan sa panahon ng kalamidad. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,REAL,180,57,24,3,1
May nilalang na lumitaw sa ilog sa Iloilo,May nilalang na lumitaw sa ilog sa Iloilo. Ito ay nakumpirma ng mga eksperto sa lugar. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.,FAKE,147,41,24,3,0
Isang barangay biglang naglaho ayon sa ulat,Isang barangay biglang naglaho ayon sa ulat. Ito ay nakumpirma ng mga eksperto sa lugar. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,FAKE,139,43,23,3,0
Libreng sakay sa mga estudyante ipapatupad simula Hulyo,"Libreng sakay sa mga estudyante ipapatupad simula Hulyo. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari.",REAL,169,55,25,3,1
"Dahon ng mangga, ginawang cellphone charger","Dahon ng mangga, ginawang cellphone charger. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.",FAKE,156,43,22,3,0
PNP: Mas pinaigting na seguridad sa Metro Manila,PNP: Mas pinaigting na seguridad sa Metro Manila. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Hindi pa matukoy kung gaano katotoo ang insidente.,REAL,161,48,24,3,1
Libreng sakay sa mga estudyante ipapatupad simula Hulyo,Libreng sakay sa mga estudyante ipapatupad simula Hulyo. Hindi pa matukoy kung gaano katotoo ang insidente. Nagpahayag ng suporta ang ilang opisyal ukol dito.,REAL,158,55,24,3,1
Buwan umano nahulog sa likod ng Mt. Apo,Buwan umano nahulog sa likod ng Mt. Apo. Ito ay bahagi ng patuloy na programa ng pamahalaan. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.,FAKE,153,39,25,4,0
Higante umano nakita sa bundok ng Sierra Madre,Higante umano nakita sa bundok ng Sierra Madre. Hindi pa matukoy kung gaano katotoo ang insidente. Ito ay bahagi ng patuloy na programa ng pamahalaan.,FAKE,150,46,25,3,0
Buwan umano nahulog sa likod ng Mt. Apo,"Buwan umano nahulog sa likod ng Mt. Apo. Ito ay nakumpirma ng mga eksperto sa lugar. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari.",FAKE,146,39,25,4,0
"Pagtaas ng sahod ng guro, isinulong sa Kongreso","Pagtaas ng sahod ng guro, isinulong sa Kongreso. Nagpahayag ng suporta ang ilang opisyal ukol dito. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.",REAL,160,47,24,3,1
Libreng sakay sa mga estudyante ipapatupad simula Hulyo,Libreng sakay sa mga estudyante ipapatupad simula Hulyo. Ito ay nakumpirma ng mga eksperto sa lugar. Ito ay nakumpirma ng mga eksperto sa lugar.,REAL,144,55,24,3,1
Saging kayang gamutin ang lahat ng sakit ayon sa eksperto,Saging kayang gamutin ang lahat ng sakit ayon sa eksperto. Hindi pa matukoy kung gaano katotoo ang insidente. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,FAKE,170,57,26,3,0
"Lalaking uminom ng tubig ulan, gumaling sa cancer","Lalaking uminom ng tubig ulan, gumaling sa cancer. Ang balitang ito ay mabilis na kumalat sa social media. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.",FAKE,167,49,26,3,0
Mga kabataan nagtanim ng puno sa tree planting activity,Mga kabataan nagtanim ng puno sa tree planting activity. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.,REAL,168,55,25,3,1
May bagong planeta na natagpuan malapit sa Pilipinas,May bagong planeta na natagpuan malapit sa Pilipinas. Ang balitang ito ay mabilis na kumalat sa social media. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.,FAKE,170,52,26,3,0
Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon,Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,REAL,179,56,24,3,1
PNP: Mas pinaigting na seguridad sa Metro Manila,PNP: Mas pinaigting na seguridad sa Metro Manila. Ang balitang ito ay mabilis na kumalat sa social media. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.,REAL,166,48,26,3,1
Buwan umano nahulog sa likod ng Mt. Apo,Buwan umano nahulog sa likod ng Mt. Apo. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.,FAKE,152,39,24,4,0
BFP nagsagawa ng fire drill sa Quezon City,"BFP nagsagawa ng fire drill sa Quezon City. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Nagpahayag ng suporta ang ilang opisyal ukol dito.",REAL,156,42,25,3,1
Mga kabataan nagtanim ng puno sa tree planting activity,Mga kabataan nagtanim ng puno sa tree planting activity. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,REAL,178,55,25,3,1
PhilHealth naglunsad ng bagong online portal,PhilHealth naglunsad ng bagong online portal. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.,REAL,167,44,22,3,1
Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon,"Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.",REAL,170,56,25,3,1
"Lalaking uminom ng tubig ulan, gumaling sa cancer","Lalaking uminom ng tubig ulan, gumaling sa cancer. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Ito ay bahagi ng patuloy na programa ng pamahalaan.",FAKE,163,49,25,3,0
Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon,Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon. Nagpahayag ng suporta ang ilang opisyal ukol dito. Ang balitang ito ay mabilis na kumalat sa social media.,REAL,164,56,26,3,1
DOH: Patuloy ang pagbaba ng kaso ng COVID-19,DOH: Patuloy ang pagbaba ng kaso ng COVID-19. Hindi pa matukoy kung gaano katotoo ang insidente. Nagpahayag ng suporta ang ilang opisyal ukol dito.,REAL,147,44,24,3,1
DOH: Patuloy ang pagbaba ng kaso ng COVID-19,DOH: Patuloy ang pagbaba ng kaso ng COVID-19. Hindi pa matukoy kung gaano katotoo ang insidente. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.,REAL,157,44,24,3,1
DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan,DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan. Ito ay nakumpirma ng mga eksperto sa lugar. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,REAL,153,57,27,3,1
Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon,Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,REAL,179,56,24,3,1
BFP nagsagawa ng fire drill sa Quezon City,BFP nagsagawa ng fire drill sa Quezon City. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon.,REAL,165,42,24,3,1
Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo,Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo. Hindi pa matukoy kung gaano katotoo ang insidente. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,FAKE,164,51,25,3,0
Buwan umano nahulog sa likod ng Mt. Apo,Buwan umano nahulog sa likod ng Mt. Apo. Hindi pa matukoy kung gaano katotoo ang insidente. Ang balitang ito ay mabilis na kumalat sa social media.,FAKE,147,39,26,4,0
May nilalang na lumitaw sa ilog sa Iloilo,"May nilalang na lumitaw sa ilog sa Iloilo. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Ito ay nakumpirma ng mga eksperto sa lugar.",FAKE,148,41,25,3,0
Libreng sakay sa mga estudyante ipapatupad simula Hulyo,Libreng sakay sa mga estudyante ipapatupad simula Hulyo. Hindi pa matukoy kung gaano katotoo ang insidente. Ito ay nakumpirma ng mga eksperto sa lugar.,REAL,151,55,24,3,1
"Lalaking uminom ng tubig ulan, gumaling sa cancer","Lalaking uminom ng tubig ulan, gumaling sa cancer. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan. Ito ay bahagi ng patuloy na programa ng pamahalaan.",FAKE,153,49,25,3,0
"Lalaking uminom ng tubig ulan, gumaling sa cancer","Lalaking uminom ng tubig ulan, gumaling sa cancer. Ang balitang ito ay mabilis na kumalat sa social media. Ito ay nakumpirma ng mga eksperto sa lugar.",FAKE,150,49,26,3,0
Bayanihan spirit muling nasilayan sa panahon ng kalamidad,"Bayanihan spirit muling nasilayan sa panahon ng kalamidad. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari.",REAL,181,57,25,3,1
PhilHealth naglunsad ng bagong online portal,PhilHealth naglunsad ng bagong online portal. Ito ay bahagi ng patuloy na programa ng pamahalaan. Ito ay nakumpirma ng mga eksperto sa lugar.,REAL,141,44,23,3,1
"Lalaking uminom ng tubig ulan, gumaling sa cancer","Lalaking uminom ng tubig ulan, gumaling sa cancer. Ito ay bahagi ng patuloy na programa ng pamahalaan. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari.",FAKE,164,49,26,3,0
Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon,Pangulo nag-anunsyo ng bagong proyekto para sa edukasyon. Nagpahayag ng suporta ang ilang opisyal ukol dito. Hindi pa matukoy kung gaano katotoo ang insidente.,REAL,159,56,24,3,1
DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan,DA: Sapat ang suplay ng bigas sa susunod na tatlong buwan. Nagpahayag ng suporta ang ilang opisyal ukol dito. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,REAL,160,57,27,3,1
Libreng sakay sa mga estudyante ipapatupad simula Hulyo,Libreng sakay sa mga estudyante ipapatupad simula Hulyo. Ito ay bahagi ng patuloy na programa ng pamahalaan. Hindi pa matukoy kung gaano katotoo ang insidente.,REAL,159,55,25,3,1
May bagong planeta na natagpuan malapit sa Pilipinas,May bagong planeta na natagpuan malapit sa Pilipinas. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang.,FAKE,175,52,24,3,0
"Dahon ng mangga, ginawang cellphone charger","Dahon ng mangga, ginawang cellphone charger. Ito ay bahagi ng patuloy na programa ng pamahalaan. Nagpahayag ng suporta ang ilang opisyal ukol dito.",FAKE,147,43,23,3,0
Higante umano nakita sa bundok ng Sierra Madre,Higante umano nakita sa bundok ng Sierra Madre. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Ang balitang ito ay mabilis na kumalat sa social media.,FAKE,164,46,26,3,0
"Dahon ng mangga, ginawang cellphone charger","Dahon ng mangga, ginawang cellphone charger. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Ito ay nakumpirma ng mga eksperto sa lugar.",FAKE,149,43,22,3,0
PhilHealth naglunsad ng bagong online portal,PhilHealth naglunsad ng bagong online portal. Ang balitang ito ay mabilis na kumalat sa social media. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,REAL,152,44,24,3,1
Mga kabataan nagtanim ng puno sa tree planting activity,Mga kabataan nagtanim ng puno sa tree planting activity. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Ito ay bahagi ng patuloy na programa ng pamahalaan.,REAL,169,55,26,3,1
Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo,"Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo. Ayon sa ulat, maraming residente ang nakasaksi sa pangyayari. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.",FAKE,175,51,26,3,0
Isang barangay biglang naglaho ayon sa ulat,Isang barangay biglang naglaho ayon sa ulat. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Ito ay nagpapakita ng pagkakaisa ng mga mamamayan.,FAKE,156,43,23,3,0
Isang barangay biglang naglaho ayon sa ulat,Isang barangay biglang naglaho ayon sa ulat. Isinasaalang-alang ng pamahalaan ang mga susunod na hakbang. Ito ay bahagi ng patuloy na programa ng pamahalaan.,FAKE,157,43,24,3,0
PNP: Mas pinaigting na seguridad sa Metro Manila,PNP: Mas pinaigting na seguridad sa Metro Manila. Ito ay bahagi ng patuloy na programa ng pamahalaan. Hindi pa matukoy kung gaano katotoo ang insidente.,REAL,152,48,25,3,1
Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo,Nagsalita ang estatwa ni Bonifacio sa gabi ng bagyo. Pinabulaanan ito ng ilang opisyal matapos ang imbestigasyon. Ito ay nakumpirma ng mga eksperto sa lugar.,FAKE,157,51,25,3,0
PNP: Mas pinaigting na seguridad sa Metro Manila,PNP: Mas pinaigting na seguridad sa Metro Manila. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo. Inaasahang maglalabas ng pahayag ang ahensya ngayong linggo.,REAL,171,48,24,3,1
